companyName,filingDate,tableMineralArray,auditors,filingUrl,cik,accessionNo
SEMTECH CORP (SMTC) (CIK 0000088941),2024-05-31,['no table metals found'],"['Responsible Minerals Initiative', 'RMI']",https://www.sec.gov/Archives/edgar/data/88941/000008894124000060/cy2023formsd.htm,88941,0000088941-24-000060
ALPHA & OMEGA SEMICONDUCTOR Ltd (AOSL) (CIK 0001387467),2024-03-04,['no table metals found'],['RMI'],https://www.sec.gov/Archives/edgar/data/1387467/000138746724000031/formsd2023.htm,1387467,0001387467-24-000031
APPLIED MATERIALS INC /DE (AMAT) (CIK 0000006951),2024-05-23,"['Tin', 'Gold']","['Responsible Minerals Initiative', 'RMI', 'RBA']",https://www.sec.gov/Archives/edgar/data/6951/000119312524146038/d840000dex101.htm,6951,0001193125-24-146038
Ferrari N.V. (RACE) (CIK 0001648416),2024-05-22,['no table metals found'],"['Responsible Minerals Initiative', 'RMI']",https://www.sec.gov/Archives/edgar/data/1648416/000164841624000114/fnv2024exhibit101-sd.htm,1648416,0001648416-24-000114
RAMBUS INC (RMBS) (CIK 0000917273),2024-05-31,"['Tin', 'Gold']",['RMI'],https://www.sec.gov/Archives/edgar/data/917273/000119312524151783/d597833dex101.htm,917273,0001193125-24-151783
GLOBALFOUNDRIES Inc. (GFS) (CIK 0001709048),2024-05-29,"['Tin', 'Gold']","['Responsible Minerals Initiative', 'RMI', 'Responsible Business Alliance', 'RBA']",https://www.sec.gov/Archives/edgar/data/1709048/000170904824000042/a2023formsd.htm,1709048,0001709048-24-000042
"STMicroelectronics N.V. (STM, STMEF) (CIK 0000932787)",2024-05-16,"['Tin', 'Gold']","['Responsible Minerals Initiative', 'RMI', 'Responsible Business Alliance', 'RBA']",https://www.sec.gov/Archives/edgar/data/932787/000094787124000487/ss3396823_ex0101.htm,932787,0000947871-24-000487
"Alphabet Inc. (GOOG, GOOGL) (CIK 0001652044)",2024-05-31,"['Tin', 'Gold']","['Responsible Minerals Initiative', 'RMI']",https://www.sec.gov/Archives/edgar/data/1652044/000165204424000063/googexhibit101-2023.htm,1652044,0001652044-24-000063
Hamilton Beach Brands Holding Co (HBB) (CIK 0001709164),2024-05-23,['no table metals found'],['RMI'],https://www.sec.gov/Archives/edgar/data/1709164/000170916424000028/exhibit1012023.htm,1709164,0001709164-24-000028
"Azenta, Inc. (AZTA) (CIK 0000933974)",2024-05-30,"['Tin', 'Gold']",['RMI'],https://www.sec.gov/Archives/edgar/data/933974/000155837024008743/tmb-20240529xex1d01.htm,933974,0001558370-24-008743
"SMITH & NEPHEW PLC (SNN, SNNUF) (CIK 0000845982)",2024-05-21,"['Tin', 'Gold']",['RMI'],https://www.sec.gov/Archives/edgar/data/845982/000095010324006932/dp211467_ex0101.htm,845982,0000950103-24-006932
"AUTOLIV INC (ALV, ALIV) (CIK 0001034670)",2024-05-31,"['Tin', 'Gold']","['Responsible Minerals Initiative', 'RMI', 'RBA']",https://www.sec.gov/Archives/edgar/data/1034670/000095017024066916/alv-ex1_01.htm,1034670,0000950170-24-066916
VICOR CORP (VICR) (CIK 0000751978),2024-05-28,['no table metals found'],"['Responsible Minerals Initiative', 'RMI']",https://www.sec.gov/Archives/edgar/data/751978/000119312524148013/d802652dex101.htm,751978,0001193125-24-148013
"MOOG INC. (MOG-A, MOG-B) (CIK 0000067887)",2024-05-31,"['Tin', 'Gold']",['RMI'],https://www.sec.gov/Archives/edgar/data/67887/000006788724000047/ex101-conflictminerals23.htm,67887,0000067887-24-000047
"Arlo Technologies, Inc. (ARLO) (CIK 0001736946)",2024-05-28,"['Tin', 'Gold']","['RMI', 'Responsible Business Alliance', 'RBA']",https://www.sec.gov/Archives/edgar/data/1736946/000173694624000026/arlo20240528-ex101conflict.htm,1736946,0001736946-24-000026
"Alphabet Inc. (GOOG, GOOGL) (CIK 0001652044)",2024-05-31,['no table metals found'],['no auditors found'],https://www.sec.gov/Archives/edgar/data/1652044/000165204424000063/googformsd5302024.htm,1652044,0001652044-24-000063
"Alphabet Inc. (GOOG, GOOGL) (CIK 0001652044)",2024-05-31,"['Tin', 'Gold']","['Responsible Minerals Initiative', 'RMI']",https://www.sec.gov/Archives/edgar/data/1652044/000165204424000063/googexhibit101-2023.htm,1652044,0001652044-24-000063
INTEL CORP (INTC) (CIK 0000050863),2024-05-07,"['Tin', 'Gold']","['Responsible Minerals Initiative', 'RMI', 'RBA']",https://www.sec.gov/Archives/edgar/data/50863/000005086324000082/a05072024formsdex101.htm,50863,0000050863-24-000082
INTEL CORP (INTC) (CIK 0000050863),2024-05-07,['no table metals found'],['no auditors found'],https://www.sec.gov/Archives/edgar/data/50863/000005086324000082/a05072024formsd.htm,50863,0000050863-24-000082
AUDIOCODES LTD (AUDC) (CIK 0001086434),2024-05-22,"['Tin', 'Gold']",['RMI'],https://www.sec.gov/Archives/edgar/data/1086434/000110465924064114/tm2415007d1_ex10-1.htm,1086434,0001104659-24-064114
KLA CORP (KLAC) (CIK 0000319201),2024-05-24,['no table metals found'],['no auditors found'],https://www.sec.gov/Archives/edgar/data/319201/000031920124000014/formsdcy23.htm,319201,0000319201-24-000014
KLA CORP (KLAC) (CIK 0000319201),2024-05-24,"['Tin', 'Gold']","['Responsible Minerals Initiative', 'RMI', 'Responsible Business Alliance', 'RBA']",https://www.sec.gov/Archives/edgar/data/319201/000031920124000014/ex101cy23.htm,319201,0000319201-24-000014
"TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD (TSM, TSMWF) (CIK 0001046179)",2024-05-29,"['Tin', 'Gold']","['Responsible Minerals Initiative', 'RMI', 'Responsible Business Alliance', 'RBA']",https://www.sec.gov/Archives/edgar/data/1046179/000119312524148432/d838800dex101.htm,1046179,0001193125-24-148432
"TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD (TSM, TSMWF) (CIK 0001046179)",2024-05-29,['no table metals found'],['no auditors found'],https://www.sec.gov/Archives/edgar/data/1046179/000119312524148432/d838800dsd.htm,1046179,0001193125-24-148432
MICROSOFT CORP (MSFT) (CIK 0000789019),2024-05-31,"['Tin', 'Gold']","['Responsible Minerals Initiative', 'RMI', 'RBA']",https://www.sec.gov/Archives/edgar/data/789019/000119312524151324/d839863dex101.htm,789019,0001193125-24-151324
MICROSOFT CORP (MSFT) (CIK 0000789019),2024-05-31,['no table metals found'],['no auditors found'],https://www.sec.gov/Archives/edgar/data/789019/000119312524151324/d839863dsd.htm,789019,0001193125-24-151324
"Nutanix, Inc. (NTNX) (CIK 0001618732)",2024-05-30,['no table metals found'],"['Responsible Minerals Initiative', 'RMI', 'Responsible Business Alliance']",https://www.sec.gov/Archives/edgar/data/1618732/000095017024066728/ntnx_2024_form_sd.htm,1618732,0000950170-24-066728
SIGNET JEWELERS LTD (SIG) (CIK 0000832988),2024-05-29,['no table metals found'],"['Responsible Minerals Initiative', 'RMI']",https://www.sec.gov/Archives/edgar/data/832988/000083298824000129/cy23formsdexhibit101.htm,832988,0000832988-24-000129
908 Devices Inc. (MASS) (CIK 0001555279),2024-05-30,"['Tin', 'Gold']","['Responsible Minerals Initiative', 'RMI']",https://www.sec.gov/Archives/edgar/data/1555279/000110465924066412/tm2415775d1_ex1-01.htm,1555279,0001104659-24-066412
"SPX Technologies, Inc. (SPXC) (CIK 0000088205)",2024-05-28,"['Tin', 'Gold']","['Responsible Minerals Initiative', 'RMI']",https://www.sec.gov/Archives/edgar/data/88205/000110465924065591/tm2414956d1_ex1-01.htm,88205,0001104659-24-065591
MATTEL INC /DE/ (MAT) (CIK 0000063276),2024-05-31,"['Tin', 'Gold']",['RMI'],https://www.sec.gov/Archives/edgar/data/63276/000162828024026004/fy2023formsd-exhibit101.htm,63276,0001628280-24-026004
Apple Inc. (AAPL) (CIK 0000320193),2024-03-27,"['Tin', 'Gold']","['Responsible Minerals Initiative', 'RMI', 'Responsible Business Alliance', 'RBA']",https://www.sec.gov/Archives/edgar/data/320193/000114036124015633/ef20024616_ex1-01.htm,320193,0001140361-24-015633
Apple Inc. (AAPL) (CIK 0000320193),2024-03-27,['no table metals found'],['no auditors found'],https://www.sec.gov/Archives/edgar/data/320193/000114036124015633/ef20024616_sd.htm,320193,0001140361-24-015633
"Arlo Technologies, Inc. (ARLO) (CIK 0001736946)",2024-05-28,"['Tin', 'Gold']","['RMI', 'Responsible Business Alliance', 'RBA']",https://www.sec.gov/Archives/edgar/data/1736946/000173694624000026/arlo20240528-ex101conflict.htm,1736946,0001736946-24-000026
Sonos Inc (SONO) (CIK 0001314727),2024-05-31,"['Tin', 'Gold']","['Responsible Minerals Initiative', 'RMI', 'Responsible Business Alliance']",https://www.sec.gov/Archives/edgar/data/1314727/000131472724000011/formsdcy2023exhibit101.htm,1314727,0001314727-24-000011
AUDIOCODES LTD (AUDC) (CIK 0001086434),2024-05-22,"['Tin', 'Gold']",['RMI'],https://www.sec.gov/Archives/edgar/data/1086434/000110465924064114/tm2415007d1_ex10-1.htm,1086434,0001104659-24-064114
"Tesla, Inc. (TSLA) (CIK 0001318605)",2024-05-31,"['Tin', 'Gold']","['Responsible Minerals Initiative', 'RMI', 'Responsible Business Alliance', 'RBA']",https://www.sec.gov/Archives/edgar/data/1318605/000110465924067119/tm2415702d1_ex1-01.htm,1318605,0001104659-24-067119
"Tesla, Inc. (TSLA) (CIK 0001318605)",2024-05-31,['no table metals found'],['no auditors found'],https://www.sec.gov/Archives/edgar/data/1318605/000110465924067119/tm2415702d1_sd.htm,1318605,0001104659-24-067119
Vizio Holding Corp. (VZIO) (CIK 0001835591),2024-05-31,['no table metals found'],"['Responsible Minerals Initiative', 'RMI', 'Responsible Business Alliance']",https://www.sec.gov/Archives/edgar/data/1835591/000183559124000046/formsd2024.htm,1835591,0001835591-24-000046
"Sony Group Corp (SONY, SNEJF) (CIK 0000313838)",2024-05-28,"['Tin', 'Gold']","['Responsible Minerals Initiative', 'RMI', 'Responsible Business Alliance', 'RBA']",https://www.sec.gov/Archives/edgar/data/313838/000183988224016375/ex1-01.htm,313838,0001839882-24-016375
"Marvell Technology, Inc. (MRVL) (CIK 0001835632)",2024-05-31,['no table metals found'],"['Responsible Minerals Initiative', 'RMI', 'Responsible Business Alliance', 'RBA']",https://www.sec.gov/Archives/edgar/data/1835632/000119312524151742/d802237dex101.htm,1835632,0001193125-24-151742
"Marvell Technology, Inc. (MRVL) (CIK 0001835632)",2024-05-31,['no table metals found'],['no auditors found'],https://www.sec.gov/Archives/edgar/data/1835632/000119312524151742/d802237dsd.htm,1835632,0001193125-24-151742
MICRON TECHNOLOGY INC (MU) (CIK 0000723125),2024-05-28,"['Tin', 'Gold']","['Responsible Minerals Initiative', 'RMI', 'RBA']",https://www.sec.gov/Archives/edgar/data/723125/000072312524000009/exhibit101conflictminerals.htm,723125,0000723125-24-000009
MICRON TECHNOLOGY INC (MU) (CIK 0000723125),2024-05-28,['no table metals found'],['no auditors found'],https://www.sec.gov/Archives/edgar/data/723125/000072312524000009/formsdcy2023.htm,723125,0000723125-24-000009
TOWER SEMICONDUCTOR LTD (TSEM) (CIK 0000928876),2024-05-30,['no table metals found'],"['Responsible Minerals Initiative', 'RMI']",https://www.sec.gov/Archives/edgar/data/928876/000117891324001896/zk2431545.htm,928876,0001178913-24-001896
Seagate Technology Holdings plc (STX) (CIK 0001137789),2024-05-31,['no table metals found'],['Responsible Business Alliance'],https://www.sec.gov/Archives/edgar/data/1137789/000113778924000042/stx-cy23formsdxconflictmin.htm,1137789,0001137789-24-000042
Seagate Technology Holdings plc (STX) (CIK 0001137789),2024-05-31,"['Tin', 'Gold']","['Responsible Minerals Initiative', 'RMI', 'Responsible Business Alliance', 'RBA']",https://www.sec.gov/Archives/edgar/data/1137789/000113778924000042/exhibit101.htm,1137789,0001137789-24-000042
